Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,333.489990234375,336.1700134277344,329.32000732421875,330.1000061035156,329.2603454589844,811900
2021-10-08,332.2900085449219,332.3699951171875,324.82000732421875,326.04998779296875,325.2206115722656,643100
2021-10-11,324.57000732421875,331.2099914550781,324.5400085449219,325.20001220703125,324.372802734375,528700
2021-10-12,327.510009765625,328.2900085449219,317.989990234375,319.54998779296875,318.7371520996094,855500
2021-10-13,323.8599853515625,326.0,319.0899963378906,320.4100036621094,319.594970703125,690600
2021-10-14,331.30999755859375,331.30999755859375,326.6099853515625,329.7799987792969,328.9411315917969,959000
2021-10-15,330.1700134277344,332.3900146484375,327.8900146484375,329.1000061035156,328.26287841796875,772500
2021-10-18,326.67999267578125,328.2300109863281,322.3299865722656,326.7699890136719,325.93878173828125,1377800
2021-10-19,325.70001220703125,332.7200012207031,325.55999755859375,332.1400146484375,331.295166015625,820600
2021-10-20,331.7099914550781,333.95001220703125,328.2200012207031,331.0299987792969,330.1879577636719,702000
2021-10-21,326.8800048828125,336.1300048828125,323.3900146484375,335.510009765625,334.6565856933594,870600
2021-10-22,342.1199951171875,357.9200134277344,340.5400085449219,343.0299987792969,342.1574401855469,1856200
2021-10-25,347.7099914550781,347.7099914550781,341.67999267578125,343.2300109863281,342.35693359375,1057500
2021-10-26,349.1199951171875,349.1199951171875,337.4800109863281,341.9700012207031,341.1001281738281,868000
2021-10-27,340.9599914550781,345.42999267578125,336.2799987792969,340.57000732421875,339.7037048339844,1196200
2021-10-28,366.44000244140625,388.989990234375,352.5,355.3399963378906,354.4361267089844,2350800
2021-10-29,352.2300109863281,374.1099853515625,351.9800109863281,372.760009765625,371.81182861328125,1603300
2021-11-01,373.0,380.489990234375,369.1600036621094,380.260009765625,379.2927551269531,2049400
2021-11-02,381.0400085449219,388.82000732421875,381.010009765625,388.75,387.7611389160156,1186300
2021-11-03,390.0,393.8699951171875,383.05999755859375,393.6700134277344,392.66864013671875,1237300
2021-11-04,394.0799865722656,409.6499938964844,393.6700134277344,409.0799865722656,408.0394287109375,1703800
2021-11-05,410.32000732421875,418.3999938964844,405.6300048828125,416.7300109863281,415.66998291015625,1655500
2021-11-08,416.75,419.3299865722656,410.5899963378906,412.8399963378906,411.78985595703125,1247800
2021-11-09,412.92999267578125,417.6000061035156,410.4200134277344,417.1099853515625,416.0489807128906,837700
2021-11-10,410.0400085449219,418.0,403.3399963378906,404.3500061035156,403.32147216796875,1169800
2021-11-11,410.2099914550781,414.2200012207031,408.0,412.7900085449219,411.739990234375,620100
2021-11-12,412.4700012207031,417.3399963378906,409.79998779296875,413.2799987792969,413.2799987792969,627100
2021-11-15,418.0,418.8500061035156,410.5299987792969,413.05999755859375,413.05999755859375,654200
2021-11-16,413.010009765625,424.0199890136719,411.1700134277344,423.20001220703125,423.20001220703125,1151000
2021-11-17,421.7699890136719,424.04998779296875,417.5899963378906,419.8399963378906,419.8399963378906,1476600
2021-11-18,422.8299865722656,424.8399963378906,417.3599853515625,423.239990234375,423.239990234375,887700
